Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Rainy,Highway,Night,2.0,80.0,3.0,0.0,Low,,Car,53.0,51.0,Artificial Light,0.0
Foggy,Rural Road,Evening,0.0,50.0,1.0,0.0,Low,Dry,Car,23.0,17.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,80.0,1.0,0.0,Low,Wet,Car,43.0,42.0,Artificial Light,1.0
Snowy,Rural Road,Night,1.0,80.0,4.0,0.0,Low,Under Construction,Car,48.0,39.0,Artificial Light,0.0
Clear,Highway,,0.0,50.0,4.0,0.0,Low,Wet,Car,58.0,56.0,Daylight,0.0
Stormy,City Road,Afternoon,1.0,100.0,2.0,0.0,High,Wet,Car,68.0,62.0,Daylight,0.0
Clear,City Road,Afternoon,0.0,100.0,5.0,0.0,Low,Icy,Car,33.0,31.0,Artificial Light,0.0
Clear,Highway,Afternoon,2.0,80.0,4.0,0.0,Low,Under Construction,Truck,31.0,27.0,Artificial Light,0.0
Foggy,Highway,Afternoon,1.0,120.0,2.0,1.0,Low,Dry,Bus,46.0,40.0,Daylight,0.0
Snowy,City Road,Evening,2.0,,5.0,0.0,Moderate,Dry,Bus,19.0,17.0,,0.0
,,Morning,0.0,60.0,1.0,1.0,Low,Icy,Truck,28.0,20.0,,0.0
Clear,City Road,Afternoon,1.0,60.0,5.0,0.0,Low,Dry,Truck,23.0,14.0,Daylight,0.0
Rainy,City Road,,0.0,80.0,4.0,0.0,Moderate,Icy,Car,33.0,30.0,Daylight,1.0
Rainy,Highway,Night,1.0,60.0,5.0,0.0,Moderate,Dry,Car,27.0,22.0,Artificial Light,1.0
,,Evening,,60.0,2.0,0.0,,Dry,Car,32.0,26.0,No Light,0.0
Foggy,Highway,Evening,1.0,60.0,3.0,0.0,Moderate,Icy,Car,61.0,56.0,Artificial Light,0.0
Foggy,City Road,Afternoon,0.0,100.0,2.0,0.0,Moderate,Under Construction,Car,37.0,37.0,Artificial Light,0.0
Stormy,City Road,,0.0,80.0,1.0,0.0,Moderate,Icy,Car,57.0,48.0,Artificial Light,1.0
Rainy,Highway,Afternoon,1.0,80.0,1.0,0.0,High,Dry,Truck,24.0,23.0,No Light,0.0
Clear,City Road,Afternoon,1.0,50.0,5.0,0.0,Moderate,Dry,,25.0,18.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,100.0,2.0,1.0,Moderate,Wet,Car,56.0,51.0,Artificial Light,0.0
Clear,City Road,Afternoon,2.0,100.0,3.0,0.0,Low,Dry,Car,21.0,12.0,Artificial Light,0.0
Rainy,Highway,Afternoon,2.0,100.0,2.0,0.0,Low,Wet,Car,,60.0,Daylight,0.0
Clear,Highway,Evening,0.0,178.0,,0.0,Low,Wet,Car,36.0,35.0,,0.0
Clear,City Road,Afternoon,2.0,50.0,,0.0,Moderate,Dry,Car,20.0,19.0,Daylight,0.0
Foggy,City Road,Morning,1.0,80.0,3.0,0.0,Moderate,Dry,Car,21.0,16.0,Artificial Light,0.0
Clear,Highway,Morning,1.0,100.0,2.0,0.0,Moderate,Wet,Car,56.0,48.0,Artificial Light,1.0
Snowy,Highway,Morning,0.0,30.0,2.0,1.0,Moderate,Under Construction,,,39.0,Artificial Light,0.0
Snowy,City Road,Evening,1.0,50.0,3.0,0.0,,Wet,Car,18.0,12.0,Artificial Light,0.0
Rainy,Rural Road,Afternoon,0.0,,4.0,0.0,Moderate,Dry,Car,53.0,45.0,Daylight,0.0
Rainy,City Road,Evening,0.0,60.0,,1.0,Low,Under Construction,Car,33.0,27.0,Artificial Light,
Clear,Highway,Night,2.0,30.0,4.0,0.0,Low,Dry,Car,23.0,15.0,Daylight,0.0
Rainy,Rural Road,Evening,2.0,60.0,4.0,0.0,Low,Dry,Motorcycle,52.0,46.0,Daylight,1.0
Foggy,Highway,Evening,,30.0,4.0,1.0,High,Dry,Car,,34.0,Artificial Light,
Foggy,Highway,Afternoon,2.0,60.0,3.0,0.0,Low,Dry,Car,25.0,19.0,Artificial Light,0.0
Clear,Highway,Afternoon,1.0,60.0,4.0,0.0,Low,Dry,Motorcycle,29.0,21.0,Artificial Light,0.0
Clear,Intersection,Evening,1.0,40.0,3.0,0.0,Low,Dry,Truck,70.0,1.0,Artificial Light,0.0
Clear,Intersection,Evening,2.0,20.0,3.0,0.0,Low,Dry,Car,64.0,43.0,Artificial Light,0.0
Clear,City Road,Morning,3.0,60.0,2.0,0.0,Low,Dry,Car,24.0,3.0,Daylight,1.0
Cloudy,Highway,Evening,2.0,100.0,4.0,0.0,Fatal,Dry,Bus,53.0,13.0,Artificial Light,1.0
Rainy,City Road,Night,1.0,40.0,2.0,0.0,Medium,Wet,Car,62.0,0.0,Artificial Light,1.0
Clear,Highway,Morning,3.0,80.0,1.0,0.0,High,Dry,Bus,26.0,7.0,Daylight,1.0
Clear,City Road,Evening,2.0,50.0,5.0,0.0,High,Dry,Car,31.0,6.0,Daylight,0.0
Clear,City Road,Morning,3.0,60.0,5.0,0.0,Low,Dry,Car,49.0,6.0,Daylight,1.0
Cloudy,Rural Road,Evening,2.0,100.0,4.0,0.0,High,Dry,Truck,74.0,12.0,Dawn/Dusk,1.0
Rainy,City Road,Morning,3.0,60.0,1.0,0.0,Low,Wet,Car,56.0,1.0,Daylight,1.0
Cloudy,Highway,Night,4.0,100.0,1.0,0.0,Low,Dry,Van,49.0,22.0,Dark,0.0
Clear,Rural Road,Afternoon,2.0,80.0,1.0,0.0,Medium,Dry,Bus,53.0,18.0,Daylight,0.0
Clear,Highway,Night,4.0,120.0,4.0,0.0,Low,Dry,Truck,24.0,3.0,Artificial Light,0.0
Rainy,Highway,Night,2.0,80.0,1.0,0.0,Medium,Icy,Bus,71.0,32.0,Dark,1.0
Clear,Rural Road,Evening,1.0,100.0,5.0,0.0,Low,Dry,Car,58.0,35.0,Artificial Light,1.0
Clear,Rural Road,Evening,1.0,60.0,3.0,0.0,Low,Dry,Van,68.0,7.0,Artificial Light,0.0
Rainy,City Road,Afternoon,1.0,60.0,1.0,0.15,Low,Wet,Bus,58.0,36.0,Dawn/Dusk,1.0
Cloudy,Intersection,Night,1.0,20.0,3.0,0.0,Medium,Under Construction,Truck,57.0,23.0,Artificial Light,0.0
Clear,Highway,Afternoon,2.0,80.0,3.0,0.0,Medium,Dry,Car,67.0,24.0,Daylight,1.0
Clear,City Road,Morning,2.0,60.0,4.0,0.0,Low,Dry,Car,39.0,21.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,50.0,4.0,0.0,Medium,Dry,Car,67.0,41.0,Daylight,0.0
Clear,City Road,Morning,1.0,30.0,1.0,0.0,Low,Under Construction,Car,49.0,29.0,Daylight,1.0
Cloudy,City Road,Afternoon,3.0,40.0,3.0,0.0,Low,Dry,Car,31.0,11.0,Daylight,1.0
Cloudy,Rural Road,Afternoon,2.0,60.0,4.0,0.0,Low,Dry,Truck,22.0,3.0,Daylight,0.0
Rainy,City Road,Night,1.0,60.0,1.0,0.0,Medium,Icy,Truck,52.0,32.0,Artificial Light,1.0
Cloudy,City Road,Night,2.0,60.0,4.0,0.01,Low,Dry,Car,25.0,4.0,Dark,1.0
Snowy,Highway,Morning,1.0,100.0,4.0,0.0,Fatal,Wet,Car,41.0,2.0,Dawn/Dusk,1.0
Clear,Rural Road,Afternoon,2.0,60.0,5.0,0.0,Low,Dry,Car,37.0,15.0,Daylight,0.0
Clear,Highway,Night,3.0,80.0,4.0,0.0,Medium,Dry,Car,42.0,19.0,Dark,0.0
Foggy,Rural Road,Morning,2.0,80.0,2.0,0.0,High,Dry,Car,29.0,8.0,Daylight,0.0
Clear,Highway,Evening,2.0,80.0,2.0,0.02,Fatal,Dry,Car,69.0,16.0,Dawn/Dusk,0.0
Foggy,City Road,Morning,1.0,50.0,2.0,0.0,Low,Dry,Car,37.0,7.0,Daylight,0.0
Foggy,City Road,Night,3.0,30.0,5.0,0.0,Low,Wet,Car,38.0,15.0,Artificial Light,0.0
Clear,City Road,Night,2.0,30.0,1.0,0.0,Medium,Under Construction,Car,29.0,9.0,Dark,0.0
Rainy,City Road,Afternoon,2.0,60.0,1.0,0.0,Low,Wet,Car,70.0,19.0,Daylight,1.0
Clear,Highway,Night,3.0,80.0,2.0,0.0,High,Dry,Car,50.0,0.0,Artificial Light,0.0
Clear,Rural Road,Afternoon,1.0,60.0,2.0,0.03,Low,Dry,Truck,22.0,4.0,Dawn/Dusk,0.0
Foggy,Intersection,Night,1.0,30.0,1.0,0.0,Medium,Dry,Truck,49.0,1.0,Artificial Light,1.0
Foggy,City Road,Evening,3.0,60.0,4.0,0.0,High,Dry,Car,64.0,22.0,Artificial Light,1.0
Foggy,Highway,Morning,4.0,100.0,2.0,0.0,Low,Wet,Car,55.0,32.0,Daylight,1.0
Rainy,Rural Road,Night,2.0,60.0,1.0,0.0,Low,Icy,Car,30.0,10.0,Artificial Light,1.0
Rainy,City Road,Evening,3.0,60.0,3.0,0.0,Fatal,Wet,Car,38.0,4.0,Artificial Light,1.0
Clear,City Road,Afternoon,2.0,40.0,2.0,0.0,Low,Dry,Truck,64.0,29.0,Daylight,0.0
Clear,Rural Road,Morning,1.0,100.0,2.0,0.0,Medium,Dry,Car,73.0,50.0,Daylight,0.0
Rainy,City Road,Morning,2.0,50.0,1.0,0.0,Low,Wet,Motorcycle,39.0,11.0,Daylight,1.0
Rainy,City Road,Evening,2.0,60.0,2.0,0.0,Medium,Wet,Car,54.0,5.0,Dawn/Dusk,0.0
Clear,City Road,Afternoon,1.0,30.0,4.0,0.0,Low,Dry,Car,26.0,6.0,Daylight,1.0
Foggy,Intersection,Night,2.0,30.0,1.0,0.0,Medium,Wet,Truck,28.0,7.0,Artificial Light,0.0
Clear,Intersection,Evening,2.0,40.0,1.0,0.0,Low,Dry,Car,53.0,12.0,Artificial Light,1.0
Clear,Highway,Morning,4.0,100.0,5.0,0.03,Low,Dry,Motorcycle,48.0,16.0,Daylight,0.0
Rainy,Intersection,Night,2.0,30.0,4.0,0.0,Low,Icy,Car,47.0,2.0,Artificial Light,0.0
Foggy,City Road,Afternoon,1.0,30.0,3.0,0.0,Medium,Dry,Car,34.0,0.0,Daylight,1.0
Clear,Highway,Afternoon,2.0,100.0,2.0,0.12,Medium,Dry,Bus,53.0,28.0,Daylight,1.0
Clear,Rural Road,Morning,2.0,60.0,2.0,0.0,High,Dry,Motorcycle,41.0,19.0,Daylight,0.0
Clear,Highway,Evening,2.0,120.0,4.0,0.0,Low,Dry,Car,27.0,7.0,Artificial Light,0.0
Rainy,Intersection,Morning,1.0,20.0,4.0,0.0,Low,Icy,Motorcycle,54.0,7.0,Daylight,0.0
Clear,Highway,Morning,2.0,80.0,1.0,0.15,High,Dry,Bus,71.0,50.0,Daylight,1.0
Clear,City Road,Night,1.0,30.0,4.0,0.0,High,Dry,Car,51.0,26.0,Artificial Light,1.0
Rainy,Highway,Morning,3.0,100.0,5.0,0.0,Medium,Wet,Truck,24.0,0.0,Dawn/Dusk,1.0
Rainy,Highway,Night,1.0,120.0,3.0,0.0,High,Wet,Car,62.0,28.0,Artificial Light,1.0
Clear,Rural Road,Afternoon,2.0,60.0,3.0,0.0,Low,Under Construction,Bus,49.0,9.0,Daylight,0.0
Rainy,Highway,Morning,2.0,120.0,3.0,0.0,Medium,Wet,Car,64.0,36.0,Daylight,0.0
Clear,Highway,Morning,2.0,100.0,5.0,0.0,Low,Dry,Truck,50.0,22.0,Daylight,1.0
Cloudy,City Road,Evening,1.0,30.0,2.0,0.0,Low,Dry,Car,47.0,8.0,Artificial Light,0.0
Cloudy,Rural Road,Morning,2.0,100.0,1.0,0.0,Medium,Dry,Truck,42.0,6.0,Daylight,0.0
Rainy,Highway,Night,2.0,120.0,2.0,0.0,High,Wet,Car,54.0,24.0,Artificial Light,1.0
Clear,Highway,Afternoon,3.0,100.0,1.0,0.0,Medium,Dry,Car,63.0,1.0,Daylight,0.0
Clear,City Road,Morning,1.0,60.0,3.0,0.0,Medium,Dry,Truck,71.0,21.0,Daylight,1.0
Clear,Highway,Evening,3.0,80.0,3.0,0.0,Medium,Dry,Car,34.0,0.0,Artificial Light,0.0
Rainy,Highway,Night,1.0,120.0,4.0,0.0,Low,Icy,Car,27.0,8.0,Artificial Light,1.0
Rainy,Rural Road,Evening,1.0,60.0,1.0,0.0,Medium,Wet,Car,43.0,14.0,Daylight,0.0
Cloudy,City Road,Afternoon,3.0,50.0,1.0,0.0,Low,Dry,Motorcycle,48.0,29.0,Daylight,0.0
Rainy,City Road,Evening,3.0,40.0,3.0,0.0,Medium,Wet,Car,66.0,3.0,Artificial Light,1.0
Rainy,Rural Road,Evening,2.0,100.0,2.0,0.13,Medium,Icy,Motorcycle,56.0,28.0,Artificial Light,1.0
Rainy,City Road,Night,3.0,40.0,4.0,0.0,Low,Wet,Car,47.0,17.0,Artificial Light,1.0
Clear,Highway,Night,1.0,120.0,2.0,0.0,Low,Dry,Van,63.0,23.0,Artificial Light,0.0
Clear,Intersection,Morning,2.0,20.0,3.0,0.0,Low,Dry,Car,66.0,2.0,Daylight,0.0
Rainy,Highway,Afternoon,4.0,100.0,2.0,0.0,Low,Icy,Bus,52.0,12.0,Daylight,1.0
Rainy,City Road,Morning,1.0,50.0,3.0,0.0,High,Icy,Truck,22.0,2.0,Daylight,1.0
Clear,Highway,Evening,2.0,100.0,4.0,0.13,Low,Dry,Car,20.0,1.0,Artificial Light,0.0
Foggy,City Road,Night,1.0,50.0,3.0,0.0,High,Dry,Truck,24.0,4.0,Dark,1.0
Clear,Rural Road,Morning,1.0,100.0,2.0,0.0,High,Dry,Car,49.0,12.0,Daylight,0.0
Rainy,Highway,Evening,4.0,80.0,2.0,0.0,High,Wet,Car,54.0,28.0,Artificial Light,1.0
Foggy,Intersection,Morning,2.0,30.0,1.0,0.02,High,Wet,Truck,29.0,3.0,Daylight,1.0
Clear,Highway,Night,3.0,120.0,2.0,0.03,Low,Under Construction,Car,58.0,38.0,Artificial Light,0.0
Clear,Rural Road,Evening,2.0,100.0,1.0,0.0,Low,Dry,Bus,54.0,19.0,Artificial Light,0.0
Cloudy,City Road,Night,3.0,30.0,1.0,0.0,Medium,Dry,Car,63.0,24.0,Dark,0.0
Foggy,Rural Road,Evening,1.0,60.0,3.0,0.0,Low,Dry,Car,61.0,19.0,Artificial Light,1.0
Rainy,Highway,Evening,1.0,100.0,1.0,0.02,Low,Wet,Truck,49.0,10.0,Artificial Light,0.0
Foggy,Highway,Afternoon,4.0,80.0,4.0,0.0,Medium,Dry,Car,19.0,0.0,Daylight,1.0
Clear,Highway,Afternoon,2.0,100.0,2.0,0.0,Low,Dry,Car,28.0,2.0,Daylight,0.0
Rainy,City Road,Afternoon,2.0,60.0,3.0,0.0,Medium,Wet,Car,39.0,2.0,Daylight,1.0
Rainy,Rural Road,Evening,2.0,60.0,2.0,0.0,Low,Icy,Bus,70.0,31.0,Artificial Light,0.0
Foggy,Highway,Night,1.0,120.0,3.0,0.0,Low,Dry,Motorcycle,66.0,29.0,Dark,1.0
Snowy,City Road,Evening,2.0,30.0,4.0,0.07,Medium,Wet,Motorcycle,56.0,11.0,Artificial Light,1.0
Snowy,Highway,Evening,4.0,100.0,2.0,0.0,High,Wet,Car,64.0,13.0,Artificial Light,1.0
Rainy,Highway,Afternoon,1.0,100.0,1.0,0.0,Low,Icy,Car,28.0,9.0,Daylight,1.0
Rainy,City Road,Night,1.0,60.0,1.0,0.0,Low,Wet,Truck,54.0,11.0,Artificial Light,0.0
Snowy,City Road,Night,3.0,60.0,2.0,0.04,Low,Wet,Car,54.0,4.0,Artificial Light,1.0
Foggy,City Road,Afternoon,3.0,40.0,2.0,0.0,Medium,Dry,Car,40.0,11.0,Daylight,1.0
Clear,Highway,Night,4.0,120.0,1.0,0.0,Low,Dry,Van,64.0,33.0,Dark,0.0
Clear,Highway,Morning,2.0,120.0,1.0,0.0,Medium,Dry,Truck,70.0,47.0,Daylight,1.0
Foggy,Intersection,Morning,1.0,20.0,1.0,0.05,Low,Wet,Motorcycle,21.0,1.0,Daylight,0.0
Cloudy,City Road,Night,1.0,40.0,5.0,0.0,Low,Dry,Truck,46.0,24.0,Artificial Light,0.0
Rainy,Highway,Evening,4.0,100.0,1.0,0.0,High,Wet,Car,70.0,28.0,Artificial Light,1.0
Clear,City Road,Afternoon,3.0,60.0,2.0,0.0,Medium,Dry,Car,33.0,14.0,Daylight,0.0
Foggy,City Road,Morning,1.0,50.0,5.0,0.0,Medium,Wet,Bus,45.0,2.0,Daylight,1.0
Foggy,City Road,Night,2.0,40.0,4.0,0.0,Medium,Wet,Car,59.0,41.0,Dark,1.0
Clear,Rural Road,Afternoon,1.0,100.0,5.0,0.0,Low,Dry,Truck,74.0,41.0,Dawn/Dusk,1.0
Clear,Rural Road,Afternoon,1.0,60.0,3.0,0.0,Low,Dry,Car,52.0,33.0,Daylight,0.0
Clear,City Road,Morning,3.0,40.0,5.0,0.0,Low,Under Construction,Car,38.0,17.0,Daylight,0.0
Foggy,City Road,Night,2.0,60.0,2.0,0.0,Medium,Dry,Truck,53.0,2.0,Artificial Light,1.0
Clear,City Road,Afternoon,2.0,60.0,2.0,0.0,Low,Dry,Car,19.0,0.0,Daylight,0.0
Cloudy,City Road,Afternoon,2.0,60.0,5.0,0.0,Low,Dry,Car,74.0,15.0,Daylight,1.0
Cloudy,City Road,Afternoon,3.0,60.0,4.0,0.0,Medium,Dry,Car,23.0,5.0,Daylight,0.0
Clear,Rural Road,Evening,2.0,60.0,2.0,0.0,Low,Dry,Car,18.0,0.0,Artificial Light,0.0
Rainy,City Road,Afternoon,3.0,50.0,4.0,0.0,Low,Icy,Car,35.0,12.0,Daylight,0.0
Cloudy,Rural Road,Evening,2.0,100.0,3.0,0.0,Medium,Dry,Van,27.0,8.0,Artificial Light,0.0
Clear,City Road,Morning,2.0,30.0,1.0,0.0,Medium,Dry,Car,21.0,0.0,Daylight,1.0
Foggy,Highway,Evening,3.0,100.0,4.0,0.0,Low,Dry,Truck,40.0,18.0,Artificial Light,1.0
Clear,Highway,Afternoon,2.0,80.0,3.0,0.0,Low,Dry,Car,24.0,3.0,Daylight,0.0
Clear,Highway,Morning,1.0,100.0,5.0,0.0,Low,Dry,Car,45.0,21.0,Daylight,0.0
Foggy,Highway,Afternoon,3.0,80.0,5.0,0.0,Low,Dry,Car,38.0,17.0,Daylight,1.0
Clear,Highway,Afternoon,1.0,120.0,5.0,0.0,Low,Dry,Truck,57.0,34.0,Daylight,0.0
Rainy,Rural Road,Night,1.0,60.0,1.0,0.0,Low,Wet,Bus,57.0,20.0,Dark,1.0
Clear,City Road,Morning,1.0,60.0,5.0,0.0,Medium,Dry,Car,74.0,22.0,Daylight,1.0
Clear,Highway,Night,1.0,100.0,4.0,0.0,Medium,Dry,Car,22.0,4.0,Dark,0.0
Clear,Highway,Morning,4.0,80.0,2.0,0.0,Low,Dry,Car,58.0,40.0,Dawn/Dusk,0.0
Cloudy,City Road,Morning,3.0,40.0,4.0,0.0,Low,Dry,Car,26.0,8.0,Daylight,0.0
Clear,Highway,Afternoon,4.0,80.0,1.0,0.0,Low,Dry,Bus,66.0,11.0,Dawn/Dusk,0.0
Foggy,City Road,Night,2.0,50.0,3.0,0.0,Medium,Wet,Car,38.0,14.0,Artificial Light,0.0
Rainy,Highway,Afternoon,2.0,120.0,3.0,0.0,Medium,Wet,Bus,64.0,24.0,Daylight,1.0
Rainy,Highway,Morning,1.0,120.0,2.0,0.0,Medium,Icy,Truck,44.0,1.0,Daylight,0.0
Rainy,Highway,Evening,2.0,80.0,2.0,0.0,Medium,Icy,Motorcycle,23.0,2.0,Dawn/Dusk,1.0
Rainy,Rural Road,Night,1.0,80.0,5.0,0.03,Low,Wet,Car,24.0,3.0,Artificial Light,1.0
Clear,Highway,Evening,4.0,100.0,2.0,0.0,Low,Dry,Truck,36.0,12.0,Artificial Light,0.0
Clear,Rural Road,Afternoon,1.0,60.0,1.0,0.04,Medium,Dry,Van,71.0,44.0,Daylight,0.0
Rainy,Highway,Evening,3.0,100.0,1.0,0.0,Low,Wet,Van,20.0,0.0,Artificial Light,1.0
Rainy,City Road,Night,3.0,50.0,2.0,0.0,High,Wet,Motorcycle,27.0,4.0,Dark,1.0
Clear,Intersection,Night,2.0,20.0,4.0,0.07,High,Dry,Car,41.0,11.0,Artificial Light,1.0
Clear,Highway,Evening,2.0,100.0,5.0,0.0,Low,Under Construction,Car,35.0,10.0,Daylight,0.0
Rainy,City Road,Night,2.0,60.0,5.0,0.07,Low,Icy,Van,35.0,4.0,Dark,1.0
Rainy,City Road,Night,1.0,30.0,5.0,0.0,Low,Icy,Car,34.0,1.0,Artificial Light,1.0
Foggy,City Road,Evening,2.0,40.0,5.0,0.1,Low,Dry,Bus,68.0,38.0,Artificial Light,1.0
Rainy,Rural Road,Afternoon,2.0,60.0,5.0,0.0,Low,Icy,Car,73.0,39.0,Daylight,0.0
Cloudy,Highway,Afternoon,2.0,100.0,1.0,0.06,Low,Dry,Motorcycle,56.0,22.0,Daylight,1.0
Foggy,Intersection,Morning,2.0,20.0,1.0,0.0,High,Dry,Car,37.0,5.0,Daylight,1.0
Cloudy,Intersection,Afternoon,2.0,40.0,5.0,0.0,High,Dry,Motorcycle,63.0,18.0,Daylight,0.0
Rainy,Intersection,Afternoon,1.0,20.0,2.0,0.0,High,Wet,Car,44.0,4.0,Daylight,1.0
Foggy,Rural Road,Morning,1.0,60.0,4.0,0.0,Low,Wet,Van,19.0,0.0,Daylight,1.0
Clear,Rural Road,Night,2.0,60.0,1.0,0.0,Low,Dry,Car,28.0,8.0,Artificial Light,0.0
Foggy,Rural Road,Night,1.0,60.0,2.0,0.0,Low,Wet,Car,37.0,0.0,Dark,1.0
Rainy,City Road,Afternoon,2.0,50.0,1.0,0.0,Medium,Icy,Bus,56.0,8.0,Daylight,0.0
Clear,Intersection,Evening,1.0,30.0,4.0,0.0,Low,Dry,Motorcycle,37.0,16.0,Daylight,0.0
Cloudy,Highway,Night,3.0,100.0,3.0,0.0,Low,Under Construction,Truck,72.0,18.0,Dark,1.0
Foggy,City Road,Morning,2.0,60.0,3.0,0.04,Medium,Dry,Car,45.0,7.0,Daylight,1.0
Clear,Intersection,Evening,2.0,30.0,4.0,0.0,Fatal,Under Construction,Car,22.0,3.0,Daylight,1.0
Foggy,City Road,Morning,3.0,40.0,4.0,0.0,Low,Dry,Car,69.0,28.0,Daylight,0.0
Rainy,Rural Road,Evening,1.0,80.0,3.0,0.0,Fatal,Wet,Truck,18.0,0.0,Daylight,1.0
Cloudy,Highway,Morning,2.0,100.0,1.0,0.0,Low,Dry,Car,65.0,44.0,Daylight,0.0
Rainy,Rural Road,Morning,2.0,60.0,5.0,0.0,Low,Wet,Car,58.0,8.0,Daylight,1.0
Snowy,City Road,Night,3.0,50.0,3.0,0.0,High,Wet,Car,36.0,11.0,Dark,1.0
Clear,City Road,Afternoon,2.0,60.0,1.0,0.0,Low,Dry,Car,64.0,19.0,Daylight,0.0
Clear,City Road,Afternoon,3.0,60.0,4.0,0.06,High,Dry,Truck,19.0,0.0,Daylight,1.0
Rainy,Intersection,Evening,2.0,40.0,5.0,0.0,Low,Wet,Car,34.0,8.0,Artificial Light,1.0
Rainy,City Road,Morning,1.0,30.0,1.0,0.0,Medium,Icy,Truck,35.0,3.0,Daylight,1.0
Clear,Rural Road,Afternoon,2.0,100.0,3.0,0.0,Low,Dry,Truck,50.0,23.0,Daylight,1.0
Rainy,Highway,Night,1.0,120.0,2.0,0.0,Medium,Wet,Car,28.0,0.0,Artificial Light,0.0
Rainy,Rural Road,Evening,2.0,60.0,2.0,0.0,Low,Wet,Van,21.0,1.0,Daylight,1.0
Clear,Highway,Morning,3.0,80.0,2.0,0.0,Low,Under Construction,Car,40.0,5.0,Daylight,0.0
Cloudy,Highway,Night,4.0,80.0,5.0,0.0,Medium,Dry,Car,40.0,18.0,Artificial Light,0.0
Foggy,Highway,Afternoon,3.0,80.0,4.0,0.0,Medium,Dry,Car,64.0,33.0,Daylight,1.0
Cloudy,Rural Road,Evening,1.0,60.0,5.0,0.13,Medium,Under Construction,Car,44.0,20.0,Artificial Light,1.0
Rainy,Highway,Evening,3.0,80.0,2.0,0.0,Low,Wet,Van,61.0,31.0,Artificial Light,1.0
Rainy,City Road,Evening,3.0,50.0,3.0,0.0,High,Icy,Car,68.0,46.0,Artificial Light,1.0
Cloudy,Highway,Morning,4.0,80.0,1.0,0.0,Low,Under Construction,Car,30.0,12.0,Dawn/Dusk,1.0
Rainy,City Road,Evening,2.0,40.0,4.0,0.0,Low,Wet,Van,64.0,34.0,Dawn/Dusk,0.0
Snowy,Highway,Morning,1.0,80.0,5.0,0.14,High,Icy,Bus,52.0,1.0,Daylight,1.0
Foggy,Highway,Evening,3.0,100.0,4.0,0.0,Medium,Dry,Car,55.0,15.0,Artificial Light,1.0
Snowy,Highway,Afternoon,2.0,100.0,4.0,0.0,Low,Wet,Car,72.0,26.0,Daylight,1.0
Snowy,City Road,Morning,1.0,50.0,1.0,0.0,Low,Icy,Bus,27.0,9.0,Daylight,0.0
Rainy,City Road,Afternoon,2.0,60.0,4.0,0.12,Low,Wet,Car,35.0,1.0,Daylight,1.0
Rainy,Highway,Morning,1.0,100.0,1.0,0.13,Low,Wet,Truck,46.0,27.0,Daylight,1.0
Clear,Rural Road,Afternoon,2.0,100.0,3.0,0.0,Low,Under Construction,Car,40.0,0.0,Dawn/Dusk,0.0
Foggy,Highway,Afternoon,3.0,80.0,1.0,0.0,High,Dry,Car,36.0,11.0,Dawn/Dusk,1.0
Rainy,City Road,Night,3.0,60.0,3.0,0.0,Low,Icy,Car,30.0,3.0,Dark,1.0
Foggy,City Road,Night,1.0,50.0,2.0,0.0,High,Dry,Truck,23.0,3.0,Artificial Light,1.0
Rainy,City Road,Morning,3.0,30.0,2.0,0.0,Low,Wet,Car,55.0,23.0,Daylight,0.0
Cloudy,Highway,Evening,2.0,80.0,3.0,0.0,Low,Dry,Motorcycle,72.0,27.0,Daylight,1.0
Clear,Rural Road,Evening,2.0,80.0,2.0,0.0,Low,Dry,Car,72.0,6.0,Artificial Light,0.0
Clear,Highway,Evening,3.0,120.0,1.0,0.0,Low,Dry,Car,57.0,2.0,Artificial Light,0.0
Rainy,City Road,Morning,2.0,60.0,5.0,0.0,Medium,Wet,Car,39.0,8.0,Daylight,0.0
Rainy,Rural Road,Night,1.0,100.0,5.0,0.0,High,Wet,Truck,18.0,0.0,Artificial Light,1.0
Clear,City Road,Night,1.0,40.0,2.0,0.1,Low,Dry,Van,44.0,1.0,Artificial Light,1.0
Foggy,Highway,Afternoon,2.0,100.0,5.0,0.0,Medium,Wet,Car,62.0,42.0,Daylight,1.0
Cloudy,City Road,Afternoon,2.0,60.0,2.0,0.0,Low,Dry,Bus,40.0,22.0,Daylight,1.0
Clear,Rural Road,Evening,1.0,100.0,5.0,0.0,Fatal,Dry,Bus,47.0,3.0,Daylight,0.0
Foggy,Highway,Evening,2.0,80.0,2.0,0.0,Low,Dry,Motorcycle,38.0,9.0,Artificial Light,0.0
Foggy,Highway,Afternoon,1.0,80.0,2.0,0.0,Low,Wet,Van,18.0,0.0,Daylight,0.0
Clear,City Road,Evening,3.0,30.0,2.0,0.0,Medium,Dry,Car,44.0,17.0,Artificial Light,0.0
Clear,Intersection,Morning,2.0,20.0,5.0,0.03,High,Dry,Van,22.0,2.0,Daylight,1.0
Clear,Rural Road,Morning,1.0,100.0,5.0,0.0,Medium,Dry,Car,69.0,44.0,Daylight,1.0
Clear,Rural Road,Morning,1.0,80.0,3.0,0.0,Low,Dry,Motorcycle,53.0,33.0,Daylight,0.0
